r_leg,W_winding[mm],Mag_B[tesla]
2,1,0.0775296
2.16,1,0.0689355
2.32,1,0.0574943
2.48,1,0.0556467
2.64,1,0.0473452
2.8,1,0.0409676
2.96,1,0.0389211
3.12,1,0.0317165
3.28,1,0.0293645
3.44,1,0.0272442
3.6,1,0.0239146
2,1.5,0.0774473
2.16,1.5,0.06823
2.32,1.5,0.0581088
2.48,1.5,0.0513036
2.64,1.5,0.0450024
2.8,1.5,0.0392765
2.96,1.5,0.0348389
3.12,1.5,0.0333412
3.28,1.5,0.0284717
3.44,1.5,0.0260321
3.6,1.5,0.0237232
2,2,0.0808715
2.16,2,0.0654997
2.32,2,0.0589549
2.48,2,0.0507284
2.64,2,0.0441509
2.8,2,0.0399527
2.96,2,0.0360277
3.12,2,0.0316058
3.28,2,0.0271935
3.44,2,0.0261705
3.6,2,0.0239475
2,2.5,0.0814942
2.16,2.5,0.0654608
2.32,2.5,0.059253
2.48,2.5,0.049767
2.64,2.5,0.0443101
2.8,2.5,0.0401992
2.96,2.5,0.0345231
3.12,2.5,0.0322092
3.28,2.5,0.0285449
3.44,2.5,0.025896
3.6,2.5,0.0220416
2,3,0.080159
2.16,3,0.0659309
2.32,3,0.0597818
2.48,3,0.052418
2.64,3,0.047238
2.8,3,0.0402251
2.96,3,0.0356734
3.12,3,0.0322607
3.28,3,0.0286926
3.44,3,0.025226
3.6,3,0.0246005
2,3.5,0.0813339
2.16,3.5,0.07268
2.32,3.5,0.0576365
2.48,3.5,0.0489541
2.64,3.5,0.0455137
2.8,3.5,0.0396651
2.96,3.5,0.0351846
3.12,3.5,0.0320759
3.28,3.5,0.0288425
3.44,3.5,0.0254915
3.6,3.5,0.0242739
2,4,0.0841965
2.16,4,0.0704174
2.32,4,0.0601354
2.48,4,0.0513005
2.64,4,0.0450059
2.8,4,0.0397882
2.96,4,0.0363389
3.12,4,0.030802
3.28,4,0.0289396
3.44,4,0.0263947
3.6,4,0.0231157
2,4.5,0.083577
2.16,4.5,0.0687478
2.32,4.5,0.0609114
2.48,4.5,0.0537956
2.64,4.5,0.0448662
2.8,4.5,0.0417428
2.96,4.5,0.0365789
3.12,4.5,0.0329362
3.28,4.5,0.0292606
3.44,4.5,0.0271651
3.6,4.5,0.0243833
2,5,0.0813677
2.16,5,0.0717152
2.32,5,0.0604166
2.48,5,0.0517789
2.64,5,0.0480855
2.8,5,0.0420561
2.96,5,0.0375221
3.12,5,0.0329442
3.28,5,0.0289432
3.44,5,0.0274366
3.6,5,0.0237914
2,5.5,0.0892735
2.16,5.5,0.0714865
2.32,5.5,0.0634647
2.48,5.5,0.0545138
2.64,5.5,0.0474439
2.8,5.5,0.0406608
2.96,5.5,0.0365986
3.12,5.5,0.0331894
3.28,5.5,0.0302339
3.44,5.5,0.026639
3.6,5.5,0.0236273
2,6,0.088807
2.16,6,0.0742499
2.32,6,0.062141
2.48,6,0.0523323
2.64,6,0.0471891
2.8,6,0.0427758
2.96,6,0.0385155
3.12,6,0.0332573
3.28,6,0.0291075
3.44,6,0.026482
3.6,6,0.0245698
