r_leg,W_winding[mm],All_Core_Total_Loss
1.6,1,0.49802
1.73,1,0.393919
1.86,1,0.324856
1.99,1,0.273779
2.12,1,0.2375
2.25,1,0.211006
2.38,1,0.191969
2.51,1,0.177449
2.64,1,0.166847
2.77,1,0.158139
2.9,1,0.152427
1.6,1.5,0.552875
1.73,1.5,0.435304
1.86,1.5,0.355536
1.99,1.5,0.299679
2.12,1.5,0.25811
2.25,1.5,0.229705
2.38,1.5,0.208008
2.51,1.5,0.191286
2.64,1.5,0.179562
2.77,1.5,0.170675
2.9,1.5,0.163844
1.6,2,0.607727
1.73,2,0.475761
1.86,2,0.386278
1.99,2,0.322961
2.12,2,0.278933
2.25,2,0.245924
2.38,2,0.222559
2.51,2,0.205377
2.64,2,0.191733
2.77,2,0.181634
2.9,2,0.173876
1.6,2.5,0.662936
1.73,2.5,0.51526
1.86,2.5,0.416921
1.99,2.5,0.346101
2.12,2.5,0.297322
2.25,2.5,0.261315
2.38,2.5,0.235197
2.51,2.5,0.216111
2.64,2.5,0.201829
2.77,2.5,0.190403
2.9,2.5,0.181459
1.6,3,0.720066
1.73,3,0.558865
1.86,3,0.444941
1.99,3,0.368114
2.12,3,0.315675
2.25,3,0.276384
2.38,3,0.246904
2.51,3,0.225213
2.64,3,0.210416
2.77,3,0.197942
2.9,3,0.1898
1.6,3.5,0.781254
1.73,3.5,0.597825
1.86,3.5,0.473209
1.99,3.5,0.388982
2.12,3.5,0.330804
2.25,3.5,0.289094
2.38,3.5,0.257488
2.51,3.5,0.23384
2.64,3.5,0.21748
2.77,3.5,0.204695
2.9,3.5,0.195465
1.6,4,0.838979
1.73,4,0.635377
1.86,4,0.50282
1.99,4,0.410799
2.12,4,0.346203
2.25,4,0.302334
2.38,4,0.267662
2.51,4,0.242782
2.64,4,0.22422
2.77,4,0.21026
2.9,4,0.201092
1.6,4.5,0.895264
1.73,4.5,0.675707
1.86,4.5,0.531535
1.99,4.5,0.430308
2.12,4.5,0.358992
2.25,4.5,0.311802
2.38,4.5,0.276283
2.51,4.5,0.247196
2.64,4.5,0.230198
2.77,4.5,0.213885
2.9,4.5,0.204761
1.6,5,0.953499
1.73,5,0.717519
1.86,5,0.562119
1.99,5,0.451214
2.12,5,0.376224
2.25,5,0.323846
2.38,5,0.283721
2.51,5,0.254914
2.64,5,0.233223
2.77,5,0.219019
2.9,5,0.208057
1.6,5.5,1.01814
1.73,5.5,0.757629
1.86,5.5,0.588713
1.99,5.5,0.47257
2.12,5.5,0.39138
2.25,5.5,0.333149
2.38,5.5,0.291961
2.51,5.5,0.262776
2.64,5.5,0.238709
2.77,5.5,0.2237
2.9,5.5,0.210632
1.6,6,1.08445
1.73,6,0.804041
1.86,6,0.620737
1.99,6,0.492925
2.12,6,0.406793
2.25,6,0.344341
2.38,6,0.298857
2.51,6,0.266645
2.64,6,0.242158
2.77,6,0.225367
2.9,6,0.213649
