"Freq [kHz]","Phase [deg]","W_winding [mm]","r_leg [mm]","Mag_B [tesla]"
500,0,7,7,0.311397333430413
500,0,8,4,0.984785199960331
500,0,8,5,0.600257263532902
500,0,8,6,0.396461672239064
500,0,8,7,0.302317168001239
500,0,8,8,0.226275340827186
500,0,8,9,0.177477717282206
500,0,8,10,0.150011469062242
500,0,8,11,0.118896227869307
500,0,8,12,0.103900687852825
500,0,8,13,0.0798911464611292
500,0,8,14,0.0744510869914377
500,0,8,15,0.0642776956549807
500,0,8,16,0.0522091732774958
500,0,9,4,0.970638268661144
500,0,9,5,0.589747004069925
500,0,9,6,0.402400712206065
500,0,9,7,0.28922176856941
500,0,9,8,0.238153666332393
500,0,9,9,0.175238844555362
500,0,9,10,0.143766652765777
500,0,9,11,0.120191058260333
500,0,9,12,0.104888266927757
500,0,9,13,0.0857722367735893
500,0,9,14,0.0740951684681863
500,0,9,15,0.063491959485822
500,0,9,16,0.0538774200325102
500,0,10,4,1.03013595952001
500,0,10,5,0.649149424236611
500,0,10,6,0.412990498045417
500,0,10,7,0.311460396643972
500,0,10,8,0.224886325889988
500,0,10,9,0.188485845040838
500,0,10,10,0.145637819111643
500,0,10,11,0.119304458008721
500,0,10,12,0.0979520463667354
500,0,10,13,0.0852716545487528
500,0,10,14,0.0746845854073118
500,0,10,15,0.0617873651303249
500,0,10,16,0.056517400500896
500,0,11,4,1.08451900555968
500,0,11,5,0.629479064241321
500,0,11,6,0.426248906987637
500,0,11,7,0.294724344061644
500,0,11,8,0.236534867120091
500,0,11,9,0.174701262810665
500,0,11,10,0.137862655191277
500,0,11,11,0.11854778957064
500,0,11,12,0.0967001458319174
500,0,11,13,0.0828578399810345
500,0,11,14,0.0759731293138754
500,0,11,15,0.0631717846861165
500,0,11,16,0.0538668242003723
500,0,12,4,1.05991542779157
500,0,12,5,0.673223183602338
500,0,12,6,0.428027886326044
500,0,12,7,0.297421353960831
500,0,12,8,0.224306945379954
500,0,12,9,0.181654125223234
500,0,12,10,0.14636766433601
500,0,12,11,0.129073420289757
500,0,12,12,0.0948403848862596
500,0,12,13,0.092683856204692
500,0,12,14,0.0751417889675392
500,0,12,15,0.0643032909643505
500,0,12,16,0.0568365133630915
