"Freq [kHz]","Phase [deg]","W_winding [mm]","r_leg [mm]","Mag_B [mTesla]"
500,0,8,5,496.979000724204
500,0,8,6,374.171265765698
500,0,8,7,305.657577828362
500,0,8,8,242.226992840349
500,0,8,9,193.38077558669
500,0,8,10,170.346404141586
500,0,8,11,142.108373815286
500,0,8,12,121.77397333692
500,0,9,5,505.626016121594
500,0,9,6,384.372550378822
500,0,9,7,295.798137078781
500,0,9,8,236.863428037976
500,0,9,9,195.802727107642
500,0,9,10,168.125696664585
500,0,9,11,136.870085068445
500,0,9,12,124.696874063843
500,0,10,5,547.314976801114
500,0,10,6,381.842151337978
500,0,10,7,294.551277398403
500,0,10,8,254.792514541766
500,0,10,8.5,213.963097486049
500,0,10,9,202.041999531549
500,0,10,10,176.06235079709
500,0,10,11,142.150151177878
500,0,10,12,121.655024464786
500,0,11,5,526.839371569648
500,0,11,6,366.137951223366
500,0,11,7,300.251666560793
500,0,11,8,234.238361265789
500,0,11,9,198.441466793789
500,0,11,10,175.511472886767
500,0,11,11,141.831292469061
500,0,11,12,125.051855593696
500,0,12,5,502.363153417946
500,0,12,6,375.414868691292
500,0,12,7,292.072885748465
500,0,12,8,236.792321278173
500,0,12,9,199.363374866631
500,0,12,10,153.572574297313
500,0,12,11,141.013248879992
500,0,12,12,129.681327950585
500,0,13,5,499.786017103106
500,0,13,6,363.685410180828
500,0,13,7,296.606905799207
500,0,13,8,251.653090556271
500,0,13,9,196.126691455264
500,0,13,10,168.219902086001
500,0,13,11,138.817521118958
500,0,13,12,120.001171582
500,0,14,5,500.11491840149
500,0,14,6,414.413603574718
500,0,14,7,290.644569952785
500,0,14,8,229.858661716402
500,0,14,9,192.68455142177
500,0,14,10,166.36285897274
500,0,14,11,139.128412869556
500,0,14,12,124.471501985356
500,0,15,5,511.454141953949
500,0,15,6,397.255975833651
500,0,15,7,300.9662124852
500,0,15,8,242.784635301628
500,0,15,9,199.438054650254
500,0,15,10,162.407355768665
500,0,15,11,143.270656807924
500,0,15,12,130.02722388261
