"Freq [kHz]","Phase [deg]","W_winding [mm]","r_leg [mm]","Mag_B [mTesla]"
500,0,4,4,427.538762101089
500,0,4,4.5,333.47254668387
500,0,4,5,253.066676191791
500,0,4,5.5,215.460868443929
500,0,4,6,183.392413585308
500,0,4,6.5,153.444354434562
500,0,4,7,133.808361617538
500,0,4,7.5,117.239710361149
500,0,4,8,103.532314338279
500,0,4,8.5,88.799547498724
500,0,4,9,86.6180475673418
500,0,4,9.5,69.4904387203527
500,0,4,10,64.6428544700658
500,0,4,10.5,63.6473136798695
500,0,4,11,56.6133932976608
500,0,4,11.5,47.3748795969905
500,0,4,12,49.6115762534268
500,0,4.5,4,398.991968792494
500,0,4.5,4.5,333.612242106852
500,0,4.5,5,276.274423643449
500,0,4.5,5.5,208.079399137949
500,0,4.5,6,186.646823181481
500,0,4.5,6.5,161.966082489821
500,0,4.5,7,131.603372389971
500,0,4.5,7.5,110.213255183372
500,0,4.5,8,97.3915474744062
500,0,4.5,8.5,92.2294777271468
500,0,4.5,9,82.2278530218875
500,0,4.5,9.5,74.4126005089907
500,0,4.5,10,66.9871241924316
500,0,4.5,10.5,60.524096232543
500,0,4.5,11,51.9087026708145
500,0,4.5,11.5,50.3409159797872
500,0,4.5,12,45.8874412727905
500,0,5,4,404.246507480566
500,0,5,4.5,319.535621949761
500,0,5,5,254.096797216976
500,0,5,5.5,217.746496590283
500,0,5,6,177.09376212421
500,0,5,6.5,148.80297704809
500,0,5,7,134.589176773441
500,0,5,7.5,118.304087202721
500,0,5,8,101.891591554774
500,0,5,8.5,79.8263840102348
500,0,5,9,78.1213895495127
500,0,5,9.5,71.8541075688361
500,0,5,10,63.4310824185385
500,0,5,10.5,59.5307991972831
500,0,5,11,54.3409960657254
500,0,5,11.5,48.7680433775718
500,0,5,12,47.8995346812465
500,0,5.5,4,418.863205616761
500,0,5.5,4.5,317.960726792523
500,0,5.5,5,264.688496647142
500,0,5.5,5.5,215.396376123136
500,0,5.5,6,168.65013317773
500,0,5.5,6.5,161.093068176081
500,0,5.5,7,133.770056924869
500,0,5.5,7.5,118.823926239476
500,0,5.5,8,100.384740523151
500,0,5.5,8.5,86.0140403762008
500,0,5.5,9,77.7642499757731
500,0,5.5,9.5,71.7106203529101
500,0,5.5,10,61.2359238496336
500,0,5.5,10.5,58.1271496331753
500,0,5.5,11,51.8477875566323
500,0,5.5,11.5,50.6480571991109
500,0,5.5,12,44.0767024098122
500,0,6,4,421.669685106531
500,0,6,4.5,338.381022244092
500,0,6,5,272.726829411151
500,0,6,5.5,227.28785629265
500,0,6,6,180.034055726655
500,0,6,6.5,160.650787646922
500,0,6,7,136.775771766357
500,0,6,7.5,111.266174635821
500,0,6,8,102.90814217276
500,0,6,8.5,91.7380577999349
500,0,6,9,78.6807285873886
500,0,6,9.5,72.5107074801282
500,0,6,10,65.7353887773252
500,0,6,10.5,61.1865995643566
500,0,6,11,53.2556120253507
500,0,6,11.5,50.0480534639365
500,0,6,12,43.9725068872581
500,0,6.5,4,397.690803612092
500,0,6.5,4.5,344.589522661561
500,0,6.5,5,265.019634501408
500,0,6.5,5.5,206.563296095639
500,0,6.5,6,181.08469414217
500,0,6.5,6.5,160.212849320822
500,0,6.5,7,142.671903282972
500,0,6.5,7.5,111.413515683842
500,0,6.5,8,101.31412853338
500,0,6.5,8.5,93.4145101031842
500,0,6.5,9,82.7358704997914
500,0,6.5,9.5,72.2607769230441
500,0,6.5,10,63.8014887001857
500,0,6.5,10.5,57.65676857293
500,0,6.5,11,54.3447497471983
500,0,6.5,11.5,53.1347723649506
500,0,6.5,12,43.0675508651171
500,0,7,4,416.872069787227
500,0,7,4.5,332.44166496585
500,0,7,5,259.3897087591
500,0,7,5.5,212.215087603352
500,0,7,6,183.174546905117
500,0,7,6.5,160.326939014394
500,0,7,7,135.406995546787
500,0,7,7.5,113.50668962972
500,0,7,8,105.219991067568
500,0,7,8.5,88.8581409648663
500,0,7,9,76.4022399190696
500,0,7,9.5,72.7335100871448
500,0,7,10,62.1488649438733
500,0,7,10.5,58.5493717404645
500,0,7,11,53.3645558398002
500,0,7,11.5,43.4981449563038
500,0,7,12,40.4981449563038
500,0,7.5,4,443.629518496633
500,0,7.5,4.5,329.841586560208
500,0,7.5,5,259.504213419683
500,0,7.5,5.5,218.534310301215
500,0,7.5,6,178.310234522785
500,0,7.5,6.5,156.809638852118
500,0,7.5,7,125.480604089634
500,0,7.5,7.5,118.526992776936
500,0,7.5,8,99.0040816806799
500,0,7.5,8.5,90.007889714329
500,0,7.5,9,76.1429870357733
500,0,7.5,9.5,68.7677451710118
500,0,7.5,10,64.4648180956777
500,0,7.5,10.5,59.5056291914824
500,0,7.5,11,51.8469848285162
500,0,7.5,11.5,49.940551854425
500,0,7.5,12,43.8747680361849
500,0,8,4,422.103017692316
500,0,8,4.5,330.670952257812
500,0,8,5,262.315049020676
500,0,8,5.5,226.610881576369
500,0,8,6,176.926152529782
500,0,8,6.5,158.304994870421
500,0,8,7,133.025958528244
500,0,8,7.5,110.675026199336
500,0,8,8,101.121983934648
500,0,8,8.5,90.8123806697868
500,0,8,9,81.1040684293849
500,0,8,9.5,68.7641606813248
500,0,8,10,61.4033880355114
500,0,8,10.5,53.787232616379
500,0,8,11,52.0687278878273
500,0,8,11.5,47.6994290478419
500,0,8,12,41.6483916933214
