"Freq [kHz]","Phase [deg]","W_winding [mm]","r_leg [mm]","Mag_B [mTesla]"
500,0,8,4,418.439884040898
500,0,8,5,259.66494848867
500,0,8,6,170.218336239179
500,0,8,7,129.852702286305
500,0,8,8,93.5552719969848
500,0,8,9,76.0383130690028
500,0,8,10,62.1177686304971
500,0,8,11,50.7456460399094
500,0,8,12,42.6855912351434
500,0,9,4,410.614005985373
500,0,9,5,249.194902952381
500,0,9,6,165.717100519795
500,0,9,7,132.317905068115
500,0,9,8,99.3087442886034
500,0,9,9,78.6453867813361
500,0,9,10,65.4733689575357
500,0,9,11,53.1183032377334
500,0,9,12,42.268165681836
500,0,10,4,427.157514539314
500,0,10,5,259.087950876734
500,0,10,6,175.411149996886
500,0,10,7,129.985417124973
500,0,10,8,100.941358113806
500,0,10,9,78.4026638232576
500,0,10,10,61.3578290903272
500,0,10,11,48.4556611119209
500,0,10,12,42.2149604191437
500,0,11,4,427.475221629937
500,0,11,5,244.849914855554
500,0,11,6,176.854776992246
500,0,11,7,123.888575304119
500,0,11,8,91.4183603197597
500,0,11,9,76.5480923632979
500,0,11,10,59.2300764540935
500,0,11,11,51.5328134953422
500,0,11,12,41.7410735576625
500,0,12,4,425.796299873339
500,0,12,5,281.255077386431
500,0,12,6,180.40667428299
500,0,12,7,127.171331259336
500,0,12,8,94.226850184018
500,0,12,9,74.2648183802078
500,0,12,10,58.423602030307
500,0,12,11,50.942606831673
500,0,12,12,41.6836088996116
500,0,13,4,450.467575718682
500,0,13,5,261.802540997595
500,0,13,6,168.949361222318
500,0,13,7,123.065310380454
500,0,13,8,93.2019464226794
500,0,13,9,76.256389375259
500,0,13,10,57.3508999023118
500,0,13,11,54.2773813246532
500,0,13,12,45.417934255589
500,0,14,4,439.843374008987
500,0,14,5,271.589288796562
500,0,14,6,180.951395644368
500,0,14,7,123.09770771543
500,0,14,8,98.8700774683894
500,0,14,9,74.4249109930397
500,0,14,10,60.085872660996
500,0,14,11,50.9904292734367
500,0,14,12,40.2268573564851
500,0,15,4,458.956378026766
500,0,15,5,269.95168659026
500,0,15,6,180.452881085425
500,0,15,7,128.931694155501
500,0,15,8,94.9583655071438
500,0,15,9,77.7004921877333
500,0,15,10,61.1015170492585
500,0,15,11,50.1980564442904
500,0,15,12,41.9921930000493
