"Freq [kHz]","Phase [deg]","W_winding [mm]","r_leg [mm]","Mag_B [mTesla]"
500,0,8,4,253.086008336231
500,0,8,5,164.630550964887
500,0,8,6,104.888901074465
500,0,8,7,77.8669550398398
500,0,8,8,62.8800891832631
500,0,8,9,47.5434917496402
500,0,8,10,38.4383913470079
500,0,8,11,30.8486868423389
500,0,8,12,25.6662881761144
500,0,8,13,22.3859928093262
500,0,8,14,20.386742093683
500,0,8,15,17.0258267887711
500,0,8,16,14.9705477889324
500,0,9,4,255.385372268041
500,0,9,5,155.322546979254
500,0,9,6,113.783600985211
500,0,9,7,84.7442928579138
500,0,9,8,57.11537940337
500,0,9,9,51.9385681121293
500,0,9,10,39.0481882997483
500,0,9,11,29.1307340160449
500,0,9,12,27.0594075601546
500,0,9,13,23.7985001744123
500,0,9,14,19.5115662274979
500,0,9,15,15.9492096163201
500,0,9,16,14.7155739939022
500,0,10,4,250.606806395683
500,0,10,5,157.559018072263
500,0,10,6,120.149317450909
500,0,10,7,84.4195248213988
500,0,10,8,62.7503640990171
500,0,10,9,46.059355462989
500,0,10,10,40.8365617191388
500,0,10,11,31.3217823711301
500,0,10,12,25.1720953076588
500,0,10,13,22.8750064961795
500,0,10,14,19.5874848984504
500,0,10,15,16.5196691696845
500,0,10,16,14.0970728296502
500,0,11,4,251.518654869332
500,0,11,5,163.841792159051
500,0,11,6,108.684351118316
500,0,11,7,81.2346526928288
500,0,11,8,61.3962425815811
500,0,11,9,47.0314554484754
500,0,11,10,41.1911622096657
500,0,11,11,33.3070060965801
500,0,11,12,26.6669690179243
500,0,11,13,21.9459557295622
500,0,11,14,19.0485193259552
500,0,11,15,16.595395862958
500,0,11,16,14.7322447859324
500,0,12,4,261.077689485197
500,0,12,5,161.715728748142
500,0,12,6,113.413145850896
500,0,12,7,81.1330937697074
500,0,12,8,60.3092263826347
500,0,12,9,48.0977230896971
500,0,12,10,37.4877146583039
500,0,12,11,30.2471638202615
500,0,12,12,25.0441267495569
500,0,12,13,22.4966427916129
500,0,12,14,20.830756436884
500,0,12,15,14.8596159100765
500,0,12,16,14.756548033047
500,0,13,4,272.260185812655
500,0,13,5,168.591525248219
500,0,13,6,116.400382542875
500,0,13,7,78.6417327558651
500,0,13,8,59.8856710885647
500,0,13,9,49.0768301497199
500,0,13,10,38.3287947520306
500,0,13,11,30.8189997986131
500,0,13,12,26.6064580116105
500,0,13,13,22.4570419183934
500,0,13,14,20.0305542467645
500,0,13,15,15.9854074012346
500,0,13,16,13.8288343188199
500,0,14,4,248.994426616829
500,0,14,5,164.28366637743
500,0,14,6,109.827674162026
500,0,14,7,80.821054309589
500,0,14,8,59.9328804470027
500,0,14,9,50.0892845156624
500,0,14,10,39.6701362503804
500,0,14,11,32.2105319581738
500,0,14,12,26.2348423618174
500,0,14,13,24.7461219952197
500,0,14,14,19.1938633789245
500,0,14,15,17.8974767220331
500,0,14,16,13.2962715875578
500,0,15,4,256.722990525564
500,0,15,5,170.614640387901
500,0,15,6,110.920639129102
500,0,15,7,77.2663335452329
500,0,15,8,59.8293303666349
500,0,15,9,45.9707383571839
500,0,15,10,36.3633887877976
500,0,15,11,31.5772339872435
500,0,15,12,26.0769720939874
500,0,15,13,21.0321103933531
500,0,15,14,19.2915699488845
500,0,15,15,17.2419097081778
500,0,15,16,16.2273663888485
