"Freq [kHz]","Phase [deg]","W_winding [mm]","r_leg [mm]","All_Core_Total_Loss []"
500,0,8,5,73.247117604902
500,0,8,6,51.5766844415829
500,0,8,7,39.3988046236214
500,0,8,8,31.3732994415044
500,0,8,9,25.9565148341976
500,0,8,10,21.9778633074925
500,0,8,11,18.9052923359624
500,0,8,12,16.4958329767391
500,0,9,5,75.0245566005729
500,0,9,6,53.075545018675
500,0,9,7,40.4244860043136
500,0,9,8,32.1996300897288
500,0,9,9,26.5813464802056
500,0,9,10,22.4647599498996
500,0,9,11,19.2429032924338
500,0,9,12,16.8101857292927
500,0,10,5,76.8927732994302
500,0,10,6,54.2615358399687
500,0,10,7,41.3935679532701
500,0,10,8,33.0157169420124
500,0,10,8.5,29.7602308314574
500,0,10,9,27.1730559786127
500,0,10,10,22.9266694281743
500,0,10,11,19.6384294004138
500,0,10,12,17.0281443525124
500,0,11,5,78.220710152512
500,0,11,6,55.5227773854619
500,0,11,7,42.1994006007724
500,0,11,8,33.6035241121542
500,0,11,9,27.6695400841279
500,0,11,10,23.3409040361109
500,0,11,11,19.9332805358002
500,0,11,12,17.1710589656271
500,0,12,5,79.6846107690457
500,0,12,6,56.345157459311
500,0,12,7,42.960031249074
500,0,12,8,34.0480931382094
500,0,12,9,28.0196142431735
500,0,12,10,23.6088199062136
500,0,12,11,20.0974812686586
500,0,12,12,17.3741728540333
500,0,13,5,80.5867456370691
500,0,13,6,57.1693365501129
500,0,13,7,43.3889749056138
500,0,13,8,34.7014076801101
500,0,13,9,28.4842137665775
500,0,13,10,23.7861148422212
500,0,13,11,20.2914467584495
500,0,13,12,17.4898487124749
500,0,14,5,81.7769160891652
500,0,14,6,58.0471180699533
500,0,14,7,43.8941189634319
500,0,14,8,34.904353262439
500,0,14,9,28.7017389202325
500,0,14,10,23.965231621611
500,0,14,11,20.4500320406312
500,0,14,12,17.5330393039786
500,0,15,5,82.5002916938824
500,0,15,6,58.4552209433158
500,0,15,7,44.4824185390617
500,0,15,8,35.5163157120678
500,0,15,9,28.9685082480155
500,0,15,10,24.1950812991585
500,0,15,11,20.5358570517251
500,0,15,12,17.6989335695221
