"Freq [kHz]","Phase [deg]","W_winding [mm]","r_leg [mm]","All_Core_Total_Loss []"
500,0,4,4,22.4339165019877
500,0,4,4.5,16.4339096304105
500,0,4,5,12.9764098817646
500,0,4,5.5,10.9257186091609
500,0,4,6,9.6961268268947
500,0,4,6.5,8.90292792296318
500,0,4,7,8.43784561625074
500,0,4,7.5,8.15946033870361
500,0,4,8,8.01599703286762
500,0,4,8.5,7.95308389370138
500,0,4,9,7.93118607501173
500,0,4,9.5,7.98179479177966
500,0,4,10,8.09652858549303
500,0,4,10.5,8.2253181058011
500,0,4,11,8.35666725017219
500,0,4,11.5,8.51662450868753
500,0,4,12,8.68375399595286
500,0,4.5,4,23.4119473483077
500,0,4.5,4.5,16.9665200427238
500,0,4.5,5,13.4027986592158
500,0,4.5,5.5,11.2388503188693
500,0,4.5,6,9.90320800745327
500,0,4.5,6.5,9.09175682702109
500,0,4.5,7,8.61539485419904
500,0,4.5,7.5,8.30681320862154
500,0,4.5,8,8.15134773628607
500,0,4.5,8.5,8.08481494005282
500,0,4.5,9,8.10740861326667
500,0,4.5,9.5,8.15519609413872
500,0,4.5,10,8.22786085135091
500,0,4.5,10.5,8.34386784937062
500,0,4.5,11,8.48790643602068
500,0,4.5,11.5,8.63097957793695
500,0,4.5,12,8.82152478033612
500,0,5,4,24.2561739312352
500,0,5,4.5,17.5238247390038
500,0,5,5,13.733919479619
500,0,5,5.5,11.4957748040153
500,0,5,6,10.1112654360838
500,0,5,6.5,9.26276215764757
500,0,5,7,8.71793485032311
500,0,5,7.5,8.43825868722206
500,0,5,8,8.26859360506332
500,0,5,8.5,8.20265539691736
500,0,5,9,8.21520663296851
500,0,5,9.5,8.24786537633256
500,0,5,10,8.34843632240963
500,0,5,10.5,8.48505819108479
500,0,5,11,8.62929869530678
500,0,5,11.5,8.77353625687551
500,0,5,12,8.94136642046048
500,0,5.5,4,25.2308695559158
500,0,5.5,4.5,18.1189899385277
500,0,5.5,5,14.0819595232513
500,0,5.5,5.5,11.7379588529597
500,0,5.5,6,10.2750522233258
500,0,5.5,6.5,9.40605110697272
500,0,5.5,7,8.83191703837745
500,0,5.5,7.5,8.54835119746008
500,0,5.5,8,8.38020148277055
500,0,5.5,8.5,8.31779943255413
500,0,5.5,9,8.32188964857445
500,0,5.5,9.5,8.34622975036096
500,0,5.5,10,8.45984971944196
500,0,5.5,10.5,8.56233915604569
500,0,5.5,11,8.71100030832596
500,0,5.5,11.5,8.91234978137583
500,0,5.5,12,9.06631852977657
500,0,6,4,26.1516627264103
500,0,6,4.5,18.6408964406514
500,0,6,5,14.446472394876
500,0,6,5.5,11.9920317525062
500,0,6,6,10.4630594561188
500,0,6,6.5,9.51400448578797
500,0,6,7,8.97395683209545
500,0,6,7.5,8.63970665997708
500,0,6,8,8.47041333134239
500,0,6,8.5,8.39640819620158
500,0,6,9,8.41319708276751
500,0,6,9.5,8.44757287116129
500,0,6,10,8.56159535477552
500,0,6,10.5,8.67722524921216
500,0,6,11,8.83910824776759
500,0,6,11.5,8.98611191964698
500,0,6,12,9.17939648107752
500,0,6.5,4,27.0357541031877
500,0,6.5,4.5,19.2187820442763
500,0,6.5,5,14.7648738008684
500,0,6.5,5.5,12.1671237953693
500,0,6.5,6,10.6004714218554
500,0,6.5,6.5,9.6329510281139
500,0,6.5,7,9.05069313101278
500,0,6.5,7.5,8.67700460780462
500,0,6.5,8,8.50926144145356
500,0,6.5,8.5,8.46936306543016
500,0,6.5,9,8.42876582607147
500,0,6.5,9.5,8.52617912534074
500,0,6.5,10,8.61174787686932
500,0,6.5,10.5,8.75372441331334
500,0,6.5,11,8.89301893121285
500,0,6.5,11.5,9.07828675771309
500,0,6.5,12,9.24403131403308
500,0,7,4,28.0223924999156
500,0,7,4.5,19.6565278041197
500,0,7,5,15.0952103904985
500,0,7,5.5,12.3298919331928
500,0,7,6,10.7395593552474
500,0,7,6.5,9.74416785112558
500,0,7,7,9.11858153612755
500,0,7,7.5,8.76802649096649
500,0,7,8,8.5896403170502
500,0,7,8.5,8.5071504147589
500,0,7,9,8.52957189961504
500,0,7,9.5,8.58038843337457
500,0,7,10,8.66648615114681
500,0,7,10.5,8.783984363335
500,0,7,11,8.96648438572335
500,0,7,11.5,9.15006708994275
500,0,7,12,9.25006708994275
500,0,7.5,4,28.840051815785
500,0,7.5,4.5,20.2015259022929
500,0,7.5,5,15.3756208476151
500,0,7.5,5.5,12.5861865042352
500,0,7.5,6,10.8925223716575
500,0,7.5,6.5,9.84218146765591
500,0,7.5,7,9.20277451359677
500,0,7.5,7.5,8.81230618482373
500,0,7.5,8,8.63805353233692
500,0,7.5,8.5,8.53779295771029
500,0,7.5,9,8.55863726561919
500,0,7.5,9.5,8.6212070652221
500,0,7.5,10,8.74157562100544
500,0,7.5,10.5,8.87838149449278
500,0,7.5,11,9.01921100576594
500,0,7.5,11.5,9.16426137713692
500,0,7.5,12,9.40146865955505
500,0,8,4,29.723228739021
500,0,8,4.5,20.602711804579
500,0,8,5,15.7267050950045
500,0,8,5.5,12.7097079141694
500,0,8,6,10.9586376984793
500,0,8,6.5,9.89834434622657
500,0,8,7,9.24603524773778
500,0,8,7.5,8.86184199602062
500,0,8,8,8.67870511554493
500,0,8,8.5,8.57743389009109
500,0,8,9,8.58446274503856
500,0,8,9.5,8.66583993444562
500,0,8,10,8.74510792615208
500,0,8,10.5,8.88845106249261
500,0,8,11,9.05154801759793
500,0,8,11.5,9.2724042862344
500,0,8,12,9.44603843362698
