"Freq [kHz]","Phase [deg]","W_winding [mm]","r_leg [mm]","All_Core_Total_Loss []"
500,0,8,4,26.7940965915299
500,0,8,5,14.2573966452011
500,0,8,6,9.99791324803887
500,0,8,7,8.48061556429711
500,0,8,8,7.99049229944156
500,0,8,9,7.92298174813185
500,0,8,10,8.08384863756534
500,0,8,11,8.37550600511428
500,0,8,12,8.7463439358394
500,0,8,13,9.13353601094586
500,0,8,14,9.55505876228182
500,0,8,15,9.97735727461954
500,0,8,16,10.4179064166649
500,0,9,4,28.4340798885768
500,0,9,5,14.7844301150968
500,0,9,6,10.1810708128412
500,0,9,7,8.61678816715762
500,0,9,8,8.01479142067695
500,0,9,9,7.96944168586346
500,0,9,10,8.1309350039579
500,0,9,11,8.43112605578535
500,0,9,12,8.8017127905568
500,0,9,13,9.21250643775391
500,0,9,14,9.63842930696171
500,0,9,15,10.0833312146416
500,0,9,16,10.5477416582629
500,0,10,4,30.0342091076648
500,0,10,5,15.2020291614755
500,0,10,6,10.2989687976376
500,0,10,7,8.63292569918925
500,0,10,8,8.00841167137007
500,0,10,9,7.95279923881341
500,0,10,10,8.13162112236864
500,0,10,11,8.44148819235866
500,0,10,12,8.82904531988981
500,0,10,13,9.24184754315728
500,0,10,14,9.69148818338526
500,0,10,15,10.1526560808105
500,0,10,16,10.6064517918259
500,0,11,4,31.7338061175942
500,0,11,5,15.6199529884547
500,0,11,6,10.4714765453924
500,0,11,7,8.54654517558792
500,0,11,8,7.96835465060397
500,0,11,9,7.90544203447927
500,0,11,10,8.13254858156048
500,0,11,11,8.4430212413276
500,0,11,12,8.81025053878152
500,0,11,13,9.24356851006216
500,0,11,14,9.71707885590192
500,0,11,15,10.1679803201963
500,0,11,16,10.6939379478107
500,0,12,4,33.3990531486227
500,0,12,5,16.1778993653133
500,0,12,6,10.4736714950285
500,0,12,7,8.5626595741901
500,0,12,8,7.97280560820154
500,0,12,9,7.82847344735659
500,0,12,10,8.04384170504891
500,0,12,11,8.38187633222879
500,0,12,12,8.78441001945325
500,0,12,13,9.2450314074164
500,0,12,14,9.73414222428432
500,0,12,15,10.2049355516293
500,0,12,16,10.6949202587274
500,0,13,4,34.950308817246
500,0,13,5,16.645175263139
500,0,13,6,10.6106255185515
500,0,13,7,8.55755735830244
500,0,13,8,7.87441739778869
500,0,13,9,7.80832649535287
500,0,13,10,7.98331047511379
500,0,13,11,8.30975388797229
500,0,13,12,8.75464736352323
500,0,13,13,9.19625789995569
500,0,13,14,9.71622642014068
500,0,13,15,10.1759607517437
500,0,13,16,10.703444475881
500,0,14,4,36.497331606896
500,0,14,5,17.1328767713552
500,0,14,6,10.767693921165
500,0,14,7,8.51573079200888
500,0,14,8,7.76879588774833
500,0,14,9,7.69068448667846
500,0,14,10,7.84171209608561
500,0,14,11,8.18957625396115
500,0,14,12,8.62891655715343
500,0,14,13,9.15695161441707
500,0,14,14,9.58722606505411
500,0,14,15,10.1219196731612
500,0,14,16,10.678422604668
500,0,15,4,38.2341064861656
500,0,15,5,17.6174845326192
500,0,15,6,10.8380662752929
500,0,15,7,8.48376258817716
500,0,15,8,7.62136697338743
500,0,15,9,7.63220884126228
500,0,15,10,7.75223751359058
500,0,15,11,8.13838664613342
500,0,15,12,8.53894780539669
500,0,15,13,9.03279335095283
500,0,15,14,9.51073053973922
500,0,15,15,10.0537398834623
500,0,15,16,10.6441931522057
