"Freq [kHz]","Phase [deg]","W_winding [mm]","r_leg [mm]","All_Core_Total_Loss []"
500,0,8,4,13.2398879558789
500,0,8,5,8.1330793419158
500,0,8,6,6.53600900275475
500,0,8,7,6.07012453121691
500,0,8,8,6.02350209660364
500,0,8,9,6.17742923181033
500,0,8,10,6.40682992592014
500,0,8,11,6.68873211294181
500,0,8,12,6.98385475031934
500,0,8,13,7.31775986308672
500,0,8,14,7.62930199450899
500,0,8,15,7.99603214773747
500,0,8,16,8.35191592168549
500,0,9,4,13.7912296182961
500,0,9,5,8.29697791563106
500,0,9,6,6.65120247878202
500,0,9,7,6.12890677411369
500,0,9,8,6.07370656683788
500,0,9,9,6.233443588153
500,0,9,10,6.4717057545305
500,0,9,11,6.80351452296408
500,0,9,12,7.11876267405345
500,0,9,13,7.45842709749929
500,0,9,14,7.77861360259835
500,0,9,15,8.13025862087983
500,0,9,16,8.4854445960059
500,0,10,4,14.4958711111647
500,0,10,5,8.51234572716797
500,0,10,6,6.74111278186257
500,0,10,7,6.18166487785277
500,0,10,8,6.14659424683055
500,0,10,9,6.32905153987168
500,0,10,10,6.58914925447989
500,0,10,11,6.85212987012395
500,0,10,12,7.20463654158903
500,0,10,13,7.53167771963325
500,0,10,14,7.90131555689173
500,0,10,15,8.28572569971981
500,0,10,16,8.67986694752765
500,0,11,4,15.0867651275856
500,0,11,5,8.67292456924397
500,0,11,6,6.81676311109294
500,0,11,7,6.21617179600043
500,0,11,8,6.15477983560162
500,0,11,9,6.33412570816997
500,0,11,10,6.62147236064324
500,0,11,11,6.94637073794421
500,0,11,12,7.28255232553742
500,0,11,13,7.62820273725411
500,0,11,14,8.01503713033728
500,0,11,15,8.39983850772905
500,0,11,16,8.77787111366544
500,0,12,4,15.6976789568259
500,0,12,5,8.84165212380597
500,0,12,6,6.76170976971453
500,0,12,7,6.2243429576332
500,0,12,8,6.17733072305585
500,0,12,9,6.34885919794714
500,0,12,10,6.6256607475304
500,0,12,11,6.97248919179237
500,0,12,12,7.29947122972444
500,0,12,13,7.70452328892667
500,0,12,14,8.08827422121691
500,0,12,15,8.47317330309082
500,0,12,16,8.87490189899754
500,0,13,4,16.3595390158566
500,0,13,5,8.98159956118853
500,0,13,6,6.74617078112669
500,0,13,7,6.19348526890256
500,0,13,8,6.16715672941672
500,0,13,9,6.32557849261354
500,0,13,10,6.63244747810113
500,0,13,11,6.97278106166119
500,0,13,12,7.34770108624292
500,0,13,13,7.73788394528612
500,0,13,14,8.12353111085949
500,0,13,15,8.55311007532059
500,0,13,16,8.9605505086219
500,0,14,4,16.9103848355565
500,0,14,5,9.12120309884283
500,0,14,6,6.80672694525789
500,0,14,7,6.2054866930554
500,0,14,8,6.10870234433657
500,0,14,9,6.26080144306899
500,0,14,10,6.6143805675927
500,0,14,11,6.98979967043633
500,0,14,12,7.33571299670458
500,0,14,13,7.76240468292679
500,0,14,14,8.20598629569955
500,0,14,15,8.56947643957761
500,0,14,16,8.99582381467325
500,0,15,4,17.5725388941544
500,0,15,5,9.30418602342311
500,0,15,6,6.83944905665479
500,0,15,7,6.09747514493186
500,0,15,8,6.02376566193132
500,0,15,9,6.19989815443038
500,0,15,10,6.57816407600339
500,0,15,11,6.98372076990694
500,0,15,12,7.34387626691639
500,0,15,13,7.74899159606955
500,0,15,14,8.20043666155534
500,0,15,15,8.62764727891494
500,0,15,16,9.06750149986583
