"Freq [kHz]","Phase [deg]","W_winding [mm]","r_leg [mm]","Mag_B [tesla]"
500,0,8,4,1.96957039992066
500,0,8,5,1.2005145270658
500,0,8,6,0.792923344478012
500,0,8,7,0.604634336002478
500,0,8,8,0.452550681654367
500,0,8,9,0.354955434564422
500,0,8,10,0.300022938124483
500,0,8,11,0.237792455738615
500,0,8,12,0.20780137570559
500,0,8,13,0.159782292922259
500,0,8,14,0.14890217398285
500,0,8,15,0.128555391309949
500,0,8,16,0.104418346554992
500,0,9,4,1.94127653732229
500,0,9,5,1.17949400813985
500,0,9,6,0.804801424412052
500,0,9,7,0.578443537138756
500,0,9,8,0.476307332664787
500,0,9,9,0.35047768911069
500,0,9,10,0.287533305531554
500,0,9,11,0.240382116520665
500,0,9,12,0.209776533855525
500,0,9,13,0.171544473547196
500,0,9,14,0.148190336936379
500,0,9,15,0.126983918971643
500,0,9,16,0.10775484006502
500,0,10,4,2.06027191904002
500,0,10,5,1.29829884847322
500,0,10,6,0.825980996090834
500,0,10,7,0.622920793287976
500,0,10,8,0.449772651779977
500,0,10,9,0.376971690081878
500,0,10,10,0.291275638223285
500,0,10,11,0.238608916017443
500,0,10,12,0.195904092733429
500,0,10,13,0.170543309097474
500,0,10,14,0.149369170814599
500,0,10,15,0.123574730260677
500,0,10,16,0.113034801001792
500,0,11,4,2.16903801111937
500,0,11,5,1.25895812848264
500,0,11,6,0.852497813975317
500,0,11,7,0.589448688123323
500,0,11,8,0.473069734240182
500,0,11,9,0.349402525621367
500,0,11,10,0.275725310382554
500,0,11,11,0.23709557914128
500,0,11,12,0.193400291663844
500,0,11,13,0.165715679962041
500,0,11,14,0.151946258627766
500,0,11,15,0.126343569372236
500,0,11,16,0.107733648400745
500,0,12,4,2.11983085558314
500,0,12,5,1.34644636720468
500,0,12,6,0.85605577265209
500,0,12,7,0.594842707921651
500,0,12,8,0.448613890759908
500,0,12,9,0.363308250446515
500,0,12,10,0.292735328672021
500,0,12,11,0.258146840579514
500,0,12,13,0.18536771240936
500,0,12,14,0.150283577935055
500,0,12,15,0.128606581928707
500,0,12,16,0.113673026726183
