"Freq [kHz]","Phase [deg]","W_winding [mm]","r_leg [mm]","Mag_B [mTesla]"
500,0,8,4,853.382187943152
500,0,8,5,530.33259910712
500,0,8,6,357.698525766698
500,0,8,7,268.943785720122
500,0,8,8,204.442271867879
500,0,8,9,163.971268781127
500,0,8,10,124.14163233268
500,0,8,11,105.269384642794
500,0,8,12,84.2021832060623
500,0,8,13,69.2305712538106
500,0,8,14,61.7034578907308
500,0,8,15,57.8732948744945
500,0,8,16,51.0279583477424
500,0,9,4,807.691710655924
500,0,9,5,526.736045435436
500,0,9,6,364.530717402219
500,0,9,7,277.699629059355
500,0,9,8,202.921494087665
500,0,9,9,161.99518530291
500,0,9,10,121.356551618531
500,0,9,11,103.690739911833
500,0,9,12,84.431970882424
500,0,9,13,78.5402430529592
500,0,9,14,63.9277156599858
500,0,9,15,53.1168156214421
500,0,9,16,49.2339818735935
500,0,10,4,851.045554756121
500,0,10,5,539.200235690866
500,0,10,6,363.755577405631
500,0,10,7,276.217010947295
500,0,10,8,209.789622438148
500,0,10,9,168.08629401218
500,0,10,10,132.676974211633
500,0,10,11,104.993181570002
500,0,10,12,82.9655641042314
500,0,10,13,75.7610737534374
500,0,10,14,67.2277032910686
500,0,10,15,55.3928900131809
500,0,10,16,51.9114559463103
500,0,11,4,884.913982128755
500,0,11,5,524.783778314055
500,0,11,6,367.681591712831
500,0,11,7,262.243935257419
500,0,11,8,192.557722718436
500,0,11,9,157.994079970045
500,0,11,10,125.605131896948
500,0,11,11,99.5586353772142
500,0,11,12,91.6130693918246
500,0,11,13,71.804865945319
500,0,11,14,62.2750321400152
500,0,11,15,53.9079755075567
500,0,11,16,46.0227240389279
500,0,12,4,866.261208337157
500,0,12,5,552.267725568604
500,0,12,6,334.814452495527
500,0,12,7,265.33134822972
500,0,12,8,215.704724938214
500,0,12,9,148.604940742678
500,0,12,10,133.363186126238
500,0,12,11,113.689967079707
500,0,12,12,87.6456780085071
500,0,12,13,71.3495900784749
500,0,12,14,65.7015697890784
500,0,12,15,55.0807418062906
500,0,12,16,43.696297764832
