"Freq [kHz]","Phase [deg]","W_winding [mm]","r_leg [mm]","All_Core_Total_Loss []"
500,0,8,4,378.207263615695
500,0,8,5,172.405577653549
500,0,8,6,99.823973267014
500,0,8,7,69.8859859275688
500,0,8,8,55.9894797571674
500,0,8,9,49.6886221027643
500,0,8,10,46.8708804739548
500,0,8,11,46.1028079716159
500,0,8,12,46.3549077228297
500,0,8,13,47.3660280278774
500,0,8,14,48.6312474161847
500,0,8,15,50.4331661000622
500,0,8,16,52.1815412976309
500,0,9,4,406.471623393631
500,0,9,5,181.497188232021
500,0,9,6,103.736664717189
500,0,9,7,71.4322960668183
500,0,9,8,56.7269212827251
500,0,9,9,50.0234172360404
500,0,9,10,46.9825563688863
500,0,9,11,46.1018700571521
500,0,9,12,46.3736118412373
500,0,9,13,47.381395180675
500,0,9,14,48.7419052370735
500,0,9,15,50.505320386585
500,0,9,16,52.5699001026374
500,0,10,4,433.992743605569
500,0,10,5,191.149937309766
500,0,10,6,107.367803604852
500,0,10,7,72.5930064740029
500,0,10,8,57.2542923609059
500,0,10,9,50.0684973746306
500,0,10,10,46.8988719140652
500,0,10,11,46.0795438812346
500,0,10,12,46.2032629968549
500,0,10,13,47.3816555579229
500,0,10,14,48.804388066535
500,0,10,15,50.5399898712422
500,0,10,16,52.5972749127139
500,0,11,4,461.934850698115
500,0,11,5,201.041870373806
500,0,11,6,110.238542278767
500,0,11,7,73.8366409973731
500,0,11,8,57.7980654773431
500,0,11,9,50.126711145435
500,0,11,10,46.6699029732939
500,0,11,11,45.7007081624155
500,0,11,12,46.1091781143357
500,0,11,13,46.9823842363385
500,0,11,14,48.4190823042848
500,0,11,15,50.4368984878708
500,0,11,16,52.549933398103
500,0,12,4,489.515208720763
500,0,12,5,210.142920992905
500,0,12,6,114.574154800602
500,0,12,7,75.2224567518739
500,0,12,8,58.1241988092988
500,0,12,9,49.9590000802272
500,0,12,10,46.3131706985776
500,0,12,11,45.3228000785451
500,0,12,12,45.500967349645
500,0,12,13,46.6007539256176
500,0,12,14,48.1759505999348
500,0,12,15,50.0012755550035
500,0,12,16,52.1315608479256
