"Freq [kHz]","Phase [deg]","W_winding [mm]","r_leg [mm]","All_Core_Total_Loss []"
500,0,8,4,100.769977206147
500,0,8,5,54.221468470091
500,0,8,6,38.3837297033888
500,0,8,7,32.4256698125217
500,0,8,8,30.2820978653907
500,0,8,9,29.8863632094813
500,0,8,10,30.2753385890336
500,0,8,11,31.1344058598435
500,0,8,12,32.1903591274355
500,0,8,13,33.5065652914085
500,0,8,14,34.7754346819828
500,0,8,15,36.3283473988123
500,0,8,16,37.8577259898134
500,0,9,4,106.25935112709
500,0,9,5,56.1033760858223
500,0,9,6,39.4190553790653
500,0,9,7,32.9734294691614
500,0,9,8,30.6542398788279
500,0,9,9,30.2383551332638
500,0,9,10,30.6282801898412
500,0,9,11,31.6895020933418
500,0,9,12,32.8239911108902
500,0,9,13,34.1574041465995
500,0,9,14,35.4603630019516
500,0,9,15,36.9425304104462
500,0,9,16,38.4659387554306
500,0,10,4,112.610506713963
500,0,10,5,58.212496986245
500,0,10,6,40.3652277631048
500,0,10,7,33.4784062579043
500,0,10,8,31.1493648662861
500,0,10,9,30.7562347753385
500,0,10,10,31.2142588546999
500,0,10,11,31.950939893611
500,0,10,12,33.2390266544449
500,0,10,13,34.5065452513528
500,0,10,14,36.0257105966523
500,0,10,15,37.6516072577383
500,0,10,16,39.3485899228322
500,0,11,4,118.288588852111
500,0,11,5,60.1157244746252
500,0,11,6,41.2416472873798
500,0,11,7,33.9272078296603
500,0,11,8,31.3396417999433
500,0,11,9,30.8753150857783
500,0,11,10,31.4197690603023
500,0,11,11,32.4128086080853
500,0,11,12,33.6149467253196
500,0,11,13,34.958925520375
500,0,11,14,36.5528667362426
500,0,11,15,38.1753724036148
500,0,11,16,39.797078901342
500,0,12,4,124.234669148005
500,0,12,5,62.0200400141191
500,0,12,6,41.4922533545375
500,0,12,7,34.2294630574959
500,0,12,8,31.5863141448294
500,0,12,9,31.0297268424284
500,0,12,10,31.4955237185395
500,0,12,11,32.565728629592
500,0,12,12,33.7167522842974
500,0,12,13,35.3208142238852
500,0,12,14,36.8951503859083
500,0,12,15,38.5157630931561
500,0,12,16,40.2407145947368
